基金代码,开始日期,结束日期
165523,2019-01-01,
004812,2019-01-01,
160224,2019-01-01,
003095,2019-01-01,
000977,2019-01-01,
161726,2019-01-01,
090013,2019-01-01,
163114,2019-01-01,
001631,2019-01-01,
003634,2019-01-01,
501057,2019-01-01,
000594,2019-01-01,
180020,2019-01-01,
003304,2019-01-01,
161725,2019-01-01,
160517,2019-01-01,
164403,2019-01-01,
020001,2019-01-01,
400015,2019-01-01,
004854,2019-01-01,
004856,2019-01-01,
005541,2019-01-01,
005037,2019-01-01,
160222,2019-01-01,
001631,2019-01-01,
165520,2019-01-01,
167301,2019-01-01,
001302,2019-01-01,
