DATE,165523,004812,160224,003095,000977,161726,090013,163114,001631,160222,165520,167301,001302
2019-01-02,0.54%,0.79%,-0.72%,-3.44%,-1.03%,-3.39%,-1.58%,-0.78%,-1.31%,-1.17%,-1.47%,-1.89%,-1.69%
2019-01-03,-0.54%,-1.40%,-1.51%,-1.26%,-1.13%,-1.35%,-0.75%,-0.73%,-2.01%,-2.04%,0.95%,1.12%,2.71%
2019-01-04,2.83%,2.39%,2.54%,2.44%,1.83%,2.49%,2.15%,2.07%,1.75%,1.61%,2.28%,2.51%,0.36%
2019-01-07,3.07%,2.50%,2.69%,0.41%,1.34%,0.56%,0.63%,1.99%,0.91%,0.73%,1.18%,-1.37%,0.24%
2019-01-08,-0.72%,0.46%,0.15%,0.10%,-0.05%,0.04%,0.10%,-0.14%,-0.38%,-0.39%,-1.30%,-1.19%,-2.98%
2019-01-09,0.31%,-1.10%,0.31%,0.51%,0.98%,0.36%,0.42%,-0.09%,1.31%,1.47%,0.00%,1.31%,0.37%
2019-01-10,-0.21%,0.59%,-0.06%,-0.61%,-0.50%,-1.04%,-0.94%,0.86%,-0.38%,-0.19%,-0.13%,-0.50%,1.10%
2019-01-11,1.03%,0.02%,0.69%,0.10%,0.06%,-0.09%,0.53%,0.59%,1.33%,1.55%,0.53%,0.50%,-0.85%
2019-01-14,-1.02%,-0.40%,-1.09%,-1.34%,-0.96%,-2.35%,-0.63%,-0.38%,-1.20%,-1.37%,0.00%,-1.19%,0.12%
2019-01-15,1.86%,1.28%,1.91%,1.57%,0.78%,1.94%,1.05%,0.87%,4.63%,4.99%,0.79%,2.11%,0.61%
2019-01-16,0.00%,-0.16%,-0.53%,1.44%,0.54%,1.42%,0.63%,-0.43%,-0.27%,-0.27%,-0.91%,0.49%,-1.45%
2019-01-17,-1.52%,-1.08%,-1.36%,-0.71%,-0.74%,-0.68%,-0.21%,-0.94%,-0.12%,-0.05%,-0.13%,0.20%,0.49%
2019-01-18,0.41%,1.44%,1.20%,2.24%,0.81%,1.55%,1.35%,0.57%,1.66%,1.96%,1.84%,2.05%,-0.12%
2019-01-21,1.03%,0.93%,1.21%,1.30%,0.82%,0.51%,0.72%,0.73%,1.41%,1.48%,0.26%,0.86%,-0.37%
2019-01-22,-1.32%,-1.48%,-1.59%,-1.67%,-0.99%,-1.43%,-1.42%,-1.36%,-1.41%,-1.59%,-1.29%,-1.42%,-0.37%
2019-01-23,-0.21%,1.04%,-0.36%,0.20%,0.18%,-0.49%,-0.10%,0.19%,-0.01%,-0.12%,0.39%,-0.10%,-0.25%
2019-01-24,1.44%,0.49%,1.13%,0.10%,0.73%,-0.06%,0.10%,0.78%,0.65%,0.59%,-0.52%,0.67%,-0.62%
2019-01-25,-1.02%,0.73%,0.55%,1.00%,0.90%,0.01%,0.82%,-0.21%,0.29%,0.38%,-0.39%,1.15%,-0.75%
2019-01-28,0.00%,-0.39%,0.41%,0.00%,-0.19%,-0.64%,-0.10%,-0.40%,0.37%,0.49%,-0.13%,0.00%,1.75%
2019-01-29,-1.23%,-0.61%,-1.27%,-0.20%,0.25%,-0.74%,-0.61%,-1.27%,0.30%,0.63%,-1.70%,0.47%,-1.85%
2019-01-30,-1.66%,-0.75%,-1.25%,-1.19%,-0.62%,-1.66%,-0.51%,-0.53%,-1.65%,-1.55%,-0.53%,-1.22%,0.63%
2019-01-31,-0.85%,-0.32%,0.46%,0.70%,-0.10%,-0.34%,-0.93%,-1.33%,0.53%,0.98%,-1.34%,2.38%,-2.24%
2019-02-01,3.20%,2.63%,3.39%,3.09%,1.42%,3.72%,2.40%,3.10%,1.81%,1.67%,2.17%,0.56%,1.66%
2019-02-11,2.69%,2.39%,3.66%,1.84%,2.17%,2.61%,2.76%,2.32%,3.52%,3.68%,2.79%,0.74%,1.88%
2019-02-12,0.40%,0.19%,1.50%,0.95%,0.97%,2.39%,2.88%,0.82%,0.16%,-0.10%,0.65%,0.28%,1.35%
2019-02-13,3.31%,0.94%,3.95%,1.41%,1.42%,1.53%,1.16%,1.27%,1.12%,1.28%,2.57%,2.01%,1.70%
2019-02-14,-0.10%,0.37%,0.44%,0.28%,0.22%,0.92%,0.67%,0.57%,1.75%,1.73%,-0.25%,-0.54%,0.24%
2019-02-15,-0.39%,-1.46%,-0.65%,-0.92%,-1.03%,-0.64%,-0.95%,-0.25%,-1.76%,-1.97%,-0.13%,-2.35%,0.36%
2019-02-18,4.09%,3.14%,4.68%,4.48%,2.32%,3.88%,2.78%,3.27%,2.98%,2.92%,2.77%,3.05%,2.61%
2019-02-19,0.94%,-0.77%,0.07%,-1.25%,-0.42%,-0.74%,-1.02%,-0.16%,-0.96%,-1.00%,-0.12%,1.44%,0.81%
2019-02-20,-0.56%,0.40%,0.38%,-1.09%,-0.30%,-0.80%,0.56%,0.35%,-0.52%,-0.59%,1.96%,1.06%,1.72%
2019-02-21,0.75%,0.65%,0.45%,-0.27%,-0.06%,-0.81%,0.00%,-0.98%,-0.67%,-0.63%,-0.24%,-0.79%,1.24%
2019-02-22,4.35%,2.42%,3.87%,1.37%,1.10%,1.94%,1.22%,1.82%,0.72%,0.63%,0.72%,3.09%,-0.89%
2019-02-25,6.39%,4.48%,5.86%,3.53%,3.54%,4.24%,4.07%,4.89%,3.27%,3.22%,6.70%,8.73%,3.26%
2019-02-26,-0.67%,-1.62%,0.00%,0.70%,-0.65%,2.10%,2.49%,-0.33%,-1.53%,-1.69%,1.12%,-2.28%,-0.54%
2019-02-27,-0.76%,-1.78%,-2.12%,-0.95%,-0.50%,-1.54%,-2.08%,-0.92%,1.20%,1.20%,-1.66%,0.32%,-1.10%
2019-02-28,-0.25%,1.14%,0.18%,3.33%,1.27%,2.36%,-0.53%,0.39%,1.04%,1.20%,-0.23%,-1.44%,-1.11%
2019-03-01,0.59%,1.59%,1.10%,0.59%,1.85%,0.36%,1.96%,0.21%,2.81%,3.26%,0.34%,3.83%,0.11%
2019-03-04,2.36%,1.68%,2.13%,1.68%,1.83%,1.77%,3.32%,2.33%,1.20%,1.00%,1.35%,0.55%,1.57%
2019-03-05,4.86%,1.67%,3.56%,0.41%,1.25%,1.44%,3.29%,2.51%,0.14%,-0.06%,1.22%,-0.55%,-0.55%
2019-03-06,1.96%,0.49%,0.70%,-0.66%,0.31%,0.61%,2.13%,1.64%,-0.53%,-0.88%,2.63%,0.94%,3.10%
2019-03-07,2.62%,-1.17%,-0.52%,-1.91%,0.00%,-0.26%,0.16%,0.82%,-1.71%,-2.35%,2.25%,-1.71%,0.54%
2019-03-08,-0.75%,-3.19%,-2.15%,-0.68%,-1.59%,-1.20%,-2.48%,-4.43%,-2.36%,-2.14%,-5.86%,-3.95%,-4.49%
2019-03-11,2.65%,4.88%,3.56%,4.94%,3.96%,4.15%,2.70%,4.83%,2.98%,2.94%,2.11%,0.74%,1.34%
2019-03-12,2.65%,2.77%,1.63%,0.16%,2.75%,0.12%,2.71%,1.70%,0.09%,-0.34%,0.22%,0.16%,0.33%
2019-03-13,-5.17%,-1.93%,-4.40%,0.49%,-2.77%,-0.76%,-2.41%,-2.29%,-0.59%,-0.35%,-0.11%,0.57%,-0.99%
2019-03-14,-3.03%,-0.57%,-1.83%,-0.57%,-3.12%,-1.56%,-3.03%,-2.72%,0.34%,0.84%,-1.52%,0.00%,-2.78%
2019-03-15,-0.78%,1.71%,0.30%,2.92%,1.57%,1.77%,1.72%,1.19%,1.96%,1.69%,0.99%,0.97%,0.69%
2019-03-18,2.28%,0.87%,1.95%,4.42%,1.59%,3.43%,2.50%,1.91%,6.20%,6.30%,2.73%,1.77%,2.50%
2019-03-19,1.38%,-0.09%,1.03%,-1.81%,0.08%,-0.64%,1.65%,0.54%,-1.31%,-1.41%,-0.43%,-0.32%,0.33%
2019-03-20,-0.91%,-1.07%,-0.58%,-0.69%,-0.73%,-0.73%,-1.16%,-0.02%,0.39%,0.18%,-0.96%,0.32%,-1.10%
2019-03-21,1.76%,0.36%,1.26%,-0.39%,0.15%,0.08%,-0.55%,0.91%,-0.48%,-0.64%,0.97%,0.39%,2.68%
2019-03-22,-0.60%,-0.22%,-0.15%,0.47%,0.57%,1.54%,-0.32%,-0.04%,0.98%,1.01%,-0.85%,-0.71%,-0.76%
2019-03-25,0.38%,-0.08%,-1.51%,-1.39%,-0.97%,-1.72%,-1.66%,-0.97%,-2.44%,-2.58%,-1.94%,-2.85%,-0.11%
2019-03-26,-2.26%,-2.59%,-3.12%,-1.10%,-1.72%,-1.53%,-1.93%,-2.55%,0.15%,0.29%,-1.43%,-0.33%,-0.33%
2019-03-27,-1.16%,0.00%,-0.18%,3.10%,0.42%,3.18%,0.00%,0.33%,2.98%,3.01%,-0.56%,0.98%,-0.99%
